activ_dense,activation,dropout_0,dropout_1,dropout_2,dropout_3,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,filters_6,global_pooling,k_0,k_1,k_2,k_3,k_4,k_5,k_6,l2,lr,s_0,s_1,s_2,stack_0,stack_1,stack_2,step,perf
softmax,elu,0.41752637513228835,0.2673086712367923,0.0008895079039816833,0.2724996105687334,133,495,189,65,35,466,223,True,1,2,5,2,4,4,5,0.005410441047460554,0.03870108079438792,3,1,2,3,1,1,False,0.8327999979257583
softmax,elu,1e-05,0.3291018023681641,1e-05,0.09844640625000001,136,493,188,62,31,468,220,False,4,2,4,1,6,5,6,1e-05,0.38189775390624997,4,1,3,3,5,4,False,0.10100000012665987
softmax,elu,1e-05,0.3291018023681641,1e-05,0.09844640625000001,136,493,188,62,31,468,220,False,4,2,4,1,6,5,6,1e-05,0.38189775390624997,4,1,3,3,5,4,False,0.10280000003054739
softmax,elu,0.40129548574811286,0.3150272068543985,0.5811896208657324,0.5309902711365977,47,112,342,40,45,404,382,False,3,6,1,2,1,1,5,0.0011116647022409599,0.34135666332002446,4,3,2,4,1,4,False,0.09820000045001506
softmax,elu,0.40129548574811286,0.3150272068543985,0.5811896208657324,0.5309902711365977,47,112,342,40,45,404,382,False,3,6,1,2,1,1,5,0.0011116647022409599,0.34135666332002446,4,3,2,4,1,4,False,0.9607000035047532
softmax,elu,0.40129548574811286,0.3150272068543985,0.5811896208657324,0.5309902711365977,47,112,342,40,45,404,382,False,3,6,1,2,1,1,5,0.0011116647022409599,0.34135666332002446,4,3,2,4,1,4,False,0.9578000026941299
softmax,elu,0.8123575411987305,0.1250088182349503,0.8112589205932618,0.7190345588889772,249,437,103,163,360,554,393,True,4,1,3,5,3,6,3,0.00051974365234375,0.0001,3,4,4,5,4,2,False,0.1244999996200204
softmax,elu,0.8081523608624145,0.894271851713275,0.27297648708173095,0.5378748647019136,79,435,355,30,497,412,312,True,3,6,3,1,5,6,6,0.0010243608331588735,0.08231041539294057,2,3,3,1,4,3,False,0.9289000034332275
softmax,elu,1e-05,0.49719075500488286,1e-05,0.6750025000000001,391,222,164,331,325,544,295,False,2,6,4,4,5,6,2,0.0038733203125000002,0.168051953125,1,3,5,1,4,3,False,0.11349999956786633
softmax,tanh,0.44047776710912473,0.03693597695723177,0.487812958881651,0.6527311673991941,591,205,434,213,545,243,206,True,5,2,1,5,6,2,1,0.0023470332622528077,0.23602507730335506,2,2,3,1,4,4,False,0.9526000040769577
softmax,relu,0.512465935640248,0.6614504165379423,0.005236258046571165,0.4894661861598492,589,203,434,212,548,242,205,True,3,6,1,4,5,1,4,0.00436111328125,0.019094189556822676,2,3,4,2,1,2,False,0.11349999956786633
softmax,sigmoid,1e-05,1e-05,0.4143547613525391,0.43594265625000006,596,208,438,211,546,241,204,True,6,6,1,4,2,1,2,1e-05,0.07724072265625001,4,3,3,4,2,2,False,0.11349999956786633
softmax,selu,0.3643855480480194,0.6633296560668945,0.5227672515548766,0.4525092249512399,18,244,348,241,493,496,348,True,6,5,6,4,6,6,4,0.0008629606682062149,0.11100123176574707,4,5,5,5,4,3,False,0.11349999956786633
softmax,sigmoid,0.3070021736605559,0.6571718014291895,0.549320302734375,0.8969988023918868,98,436,513,81,28,530,195,True,5,5,2,5,5,4,5,0.00035404647827148443,0.14587802423238752,3,5,5,4,5,5,False,0.11349999956786633
softmax,elu,0.10388457824707031,0.3541228866577149,0.8697913665390015,0.6882131982064247,112,598,376,147,211,272,185,False,5,5,4,4,4,6,4,0.0008294921875,0.046368127393722536,3,5,2,4,1,5,False,0.11349999956786633
softmax,elu,0.1331493252782224,0.0372337182900603,0.7398466056727507,0.8228634629505883,529,391,56,398,427,506,382,False,3,5,2,2,1,3,5,0.003550905094012301,0.9140733484531811,4,1,1,4,1,2,False,0.10090000040829182
softmax,elu,1e-05,0.9,0.10800440551757813,0.16875812500000004,251,380,559,432,497,588,293,False,3,6,3,5,1,3,3,0.01,0.6406609375,2,4,1,3,3,4,False,0.09740000028163194
softmax,elu,1e-05,0.22500750000000003,0.7152120141601562,0.9,530,387,53,399,428,506,382,False,3,6,1,6,1,4,6,0.0075025000000000005,0.9217607543945312,1,4,2,4,3,2,False,0.11349999956786633
softmax,elu,0.5711995481311661,0.262598316273118,0.023867692576503084,0.7874300832372308,310,45,367,529,341,353,230,False,5,1,4,4,2,5,3,0.0026857492309228315,0.31081659858845984,2,3,2,1,1,4,True,0.11349999956786633
softmax,elu,0.35299168680784987,0.2888887669768689,0.024538070827510628,0.378942224856851,331,530,240,414,127,457,51,False,2,5,3,3,1,3,2,0.0009681530737499152,0.14867468029700187,3,3,3,4,1,2,False,0.9799000066518784
softmax,elu,0.35299168680784987,0.2888887669768689,0.024538070827510628,0.378942224856851,331,530,240,414,127,457,51,False,2,5,3,3,1,3,2,0.0009681530737499152,0.14867468029700187,3,3,3,4,1,2,False,0.9799000066518784
softmax,tanh,0.80156359375,0.2361092409766553,1e-05,0.43066927734375005,72,60,377,213,561,485,35,False,6,6,4,6,3,5,6,0.00028316406250000005,0.26017545722424984,3,5,3,4,2,1,False,0.9484000015258789
softmax,tanh,0.7620303522683233,0.09159475807787384,0.0937999175615187,0.11893215638990703,42,502,359,566,434,516,221,False,1,5,3,5,6,2,4,0.0036458917944279974,0.2759647867599007,3,3,3,1,2,5,False,0.9345000022649765
softmax,elu,0.6288665743206531,0.055496066451722746,0.009563008933664349,0.7285056453478337,41,502,358,566,434,516,222,True,1,5,4,4,6,1,4,0.004300627764426171,0.26488251707772725,2,3,2,1,2,5,False,0.9473000019788742
softmax,elu,0.010556757812500001,0.17059488132476808,1e-05,0.3654112133789063,381,179,29,312,331,446,331,True,4,5,3,4,1,4,4,0.0080878515625,0.28971336975097656,3,4,4,2,1,4,False,0.9349000018835067
softmax,elu,0.32344390625,0.32127842204093937,0.0250585498046875,1e-05,382,180,19,314,341,443,335,False,5,5,3,5,1,4,6,1e-05,0.593790625,3,4,4,1,5,3,True,0.08920000007376075
softmax,elu,1e-05,0.2369350269075111,0.021529660258293153,0.058957861862182624,27,215,103,544,330,567,32,True,1,6,2,2,1,3,2,0.004879393310546875,0.30555422325134274,3,1,1,4,4,4,False,0.09740000028163194
softmax,elu,0.0971168366034329,0.08998142913304162,0.01253182568506396,0.6222920765426423,151,181,86,178,216,369,400,False,2,5,4,1,1,3,3,0.004431938533782959,0.11495611993437342,3,5,2,2,2,1,False,0.9056000006198883
softmax,elu,1e-05,0.3832088671875,0.010556757812500001,0.6222687109375,150,183,87,170,216,372,405,True,2,5,6,2,1,3,5,1e-05,0.0945729736328125,1,5,3,4,2,2,False,0.980800005197525
softmax,elu,1e-05,0.30938156250000004,1e-05,0.5097699609375,475,465,190,436,53,84,596,False,3,5,1,2,1,4,2,0.002429453125,0.0001,3,4,4,2,4,2,False,0.16269999973475932
softmax,relu,0.3677630967345034,0.570241418143286,0.0072691019581730895,0.6339816466829952,146,334,81,300,569,75,429,False,5,4,4,1,1,3,1,0.005825122888099867,0.20354025206842896,1,2,4,1,2,2,False,0.11349999956786633
softmax,elu,0.3995194864919306,0.4134468456563126,0.01255273636289993,0.6897187733206769,335,263,62,530,50,504,36,True,4,5,3,5,1,1,5,0.005805472501824864,0.12907586178064803,4,4,3,2,2,1,False,0.9571000045537948
softmax,relu,0.640659879709199,0.894678044788623,0.015425442262016023,0.6705958555103678,335,263,62,530,50,503,38,False,6,5,3,5,1,1,4,0.00012131926099442354,0.212804844427279,4,5,3,2,3,1,False,0.11349999956786633
softmax,selu,0.6936637082278728,0.8402350390625,0.010917242698669434,0.22561174133300785,64,47,350,278,569,318,281,False,2,6,3,6,4,5,1,0.00999268310546875,0.2024723388671875,2,5,5,5,4,2,False,0.08920000007376075
softmax,elu,1e-05,0.7378195663070679,0.02376767059326172,0.29531921875000006,408,220,450,55,513,491,204,True,2,6,5,4,1,5,4,1e-05,0.11383717555999756,4,4,2,5,2,2,False,0.9778000062704086
softmax,elu,0.5632071246767044,0.45113653932621706,0.009343388236913597,0.3895070196000487,40,596,474,505,277,272,413,True,4,5,1,5,1,1,1,0.005998978097848594,0.6992396829862613,1,2,1,3,5,2,False,0.08920000007376075
softmax,elu,0.23616742555239956,0.4298759558016811,0.12883334253509704,0.4538500710416303,289,11,62,322,424,473,182,True,1,1,4,1,1,4,4,0.00018860764412100253,0.7521554742118202,3,5,4,5,1,3,False,0.44519999623298645
softmax,elu,0.5689929161004494,0.336281341944497,0.6339253176281974,0.32457461292196915,251,25,515,45,298,279,436,False,2,3,1,1,3,2,5,0.00020991069581126795,0.18379805028844712,1,5,4,1,1,3,False,0.9494000023603439
softmax,elu,0.19204888183593752,0.56250375,0.43146062749862674,0.53262126953125,27,71,60,491,396,291,517,False,4,3,4,1,4,5,5,0.003863412017822266,0.15242851562499998,5,4,3,3,2,4,False,0.11349999956786633
softmax,elu,0.8028905100386258,0.31490066778471876,0.020662061609684555,0.13551763865461935,121,280,249,113,533,546,319,False,2,3,4,2,2,2,4,0.000678372969924717,0.08464918616129022,2,2,1,3,2,2,False,0.9577000051736831
softmax,elu,1e-05,1e-05,0.0175879296875,0.45000500000000004,122,282,249,114,534,547,314,False,3,5,3,2,1,4,5,1e-05,0.0001,2,5,2,4,2,3,False,0.4332999989390373
softmax,elu,0.11371379947662354,0.24961660156250004,0.037527893676757816,0.302350390625,97,577,584,145,18,429,313,False,3,4,2,4,6,1,2,1e-05,0.230545703125,2,4,3,3,3,2,False,0.9799000060558319
softmax,elu,0.005004720216736845,0.3731888016514681,0.29223504114923887,0.37447211850575174,126,262,273,19,564,270,101,True,3,5,1,5,5,3,1,0.0019515318891682547,0.31900163877095045,2,2,3,3,1,1,False,0.970100005865097
softmax,elu,0.33372770722128037,0.4068369521756559,0.27669917016394496,0.32140937421039073,438,197,358,22,342,599,68,True,4,6,6,4,5,2,4,0.002745769257332795,0.07294359961442985,4,2,3,3,4,2,False,0.9569000029563903
softmax,sigmoid,0.7837275398033032,0.29883928171823165,0.0016056033200929874,0.3504211440444833,584,568,94,195,132,193,495,True,5,4,3,2,5,2,2,0.0003051382664908635,0.2174482003502629,4,2,3,4,2,1,False,0.11349999956786633
softmax,elu,0.04395654081344605,0.7671108881517201,0.29260654254424373,0.690788707151711,159,97,347,61,597,14,301,True,1,5,2,1,1,5,6,0.0014936063563823702,0.20089321212768554,3,2,1,4,4,2,False,0.8327999979257583
softmax,elu,1e-05,0.33750625000000006,0.20401408330321313,1e-05,163,94,347,66,593,17,299,True,5,6,3,1,1,2,6,1e-05,0.10949553060531617,2,5,4,2,1,2,False,0.9531000047922135
softmax,elu,0.10167360427856445,0.4669625952792168,0.05625937500000001,0.0953702685546875,522,187,514,559,270,509,189,True,5,2,1,4,6,3,3,1e-05,0.1094640625,5,2,2,3,3,2,False,0.9658000057935715
